"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"937",3,0,12,0,6,0,1,17,6,41,2,0,16,20,18,3,5,14,1,42,109,0,11,23,45,6,3,12,0,0,15,1,13,20,1,12,1,19,19,7,3,68,328,2,0,8,10,1,3,18,1,1,9,44,0,22,7,24,4,10,0,42,57,0,7,25,0,3,18,0,2,4,7,16,1,3,1,2,2,35,28,15,4,1,3,1,12,8,198,32,4,7,58,0,1,5,0,1,0,1
"938",3,0,8,2,3,3,2,22,7,60,2,0,21,11,16,2,6,8,2,39,69,0,8,16,53,3,2,18,0,0,8,1,22,23,0,8,0,20,22,3,0,56,403,0,1,9,10,0,0,14,1,0,10,48,0,16,2,28,2,15,0,45,79,0,2,20,0,2,15,0,1,3,4,21,4,1,6,3,7,32,32,15,6,0,3,0,9,7,133,39,8,14,77,0,0,7,0,1,0,1
"939",10,0,7,4,1,2,3,21,5,48,0,1,19,18,27,4,4,7,1,37,71,1,5,12,61,2,4,8,0,0,10,0,16,15,0,7,3,26,15,26,0,66,335,1,1,9,9,0,2,24,1,0,9,37,1,23,5,26,2,10,0,54,47,1,7,18,0,5,8,2,1,2,10,36,3,1,2,3,8,30,38,22,8,1,5,0,8,3,194,36,6,6,61,3,1,3,0,2,0,1
"940",3,0,10,3,3,0,1,18,4,51,2,0,23,20,21,0,5,7,0,42,68,1,4,22,70,2,4,14,0,0,10,2,13,16,0,11,0,23,25,24,24,52,314,1,0,9,10,0,2,16,2,0,4,43,0,25,4,23,0,12,0,45,26,2,10,32,0,3,3,0,0,8,6,20,6,0,6,2,8,28,25,15,9,0,4,0,6,3,117,46,3,3,39,1,2,4,0,3,1,1
"941",9,0,9,3,2,0,0,21,5,55,1,0,25,19,7,3,6,4,1,57,21,1,6,18,68,1,4,8,0,1,11,0,21,20,0,10,0,28,17,14,58,60,311,0,2,11,12,0,9,15,0,2,5,52,1,16,4,24,0,13,0,30,29,4,6,26,0,4,9,1,0,11,9,26,4,1,3,3,8,29,28,20,6,0,3,0,21,3,97,43,2,2,58,1,1,13,0,1,1,1
"942",6,0,5,0,2,0,1,25,2,44,0,0,19,22,1,2,4,1,1,38,7,1,4,22,62,2,1,13,0,2,8,0,25,15,1,9,4,24,20,2,15,49,386,0,1,8,16,0,2,11,2,0,5,48,2,18,0,9,0,17,0,30,49,1,3,20,0,2,10,2,1,7,3,15,7,1,2,7,8,32,30,15,4,0,2,0,16,1,43,34,3,5,41,2,3,17,0,3,0,3
"943",7,1,6,5,4,0,1,17,6,40,3,2,9,19,0,6,5,7,1,39,16,2,6,19,75,1,2,18,0,1,8,4,32,21,1,12,6,31,22,10,13,61,323,0,1,9,21,0,3,12,2,1,3,41,0,27,7,10,2,14,0,26,39,0,6,23,0,4,11,1,3,9,3,21,3,2,1,5,9,38,24,17,9,0,3,0,8,1,32,39,6,6,47,0,1,10,0,2,2,1
"944",8,0,7,6,3,0,0,27,3,52,3,1,12,19,0,0,7,10,1,35,3,0,4,36,35,0,3,8,0,0,17,5,28,12,0,9,13,38,20,10,11,51,355,0,0,7,7,0,2,16,4,0,10,41,2,26,5,21,0,6,0,41,22,0,3,17,0,5,14,1,1,10,4,21,7,2,7,7,9,52,33,13,5,0,6,23,21,5,55,34,4,8,52,1,1,6,0,2,1,1
"945",9,0,7,4,5,0,0,25,4,50,1,1,14,16,0,4,8,16,0,44,3,0,8,50,51,2,2,10,0,0,11,5,32,20,0,14,5,36,14,20,16,54,336,4,0,10,11,0,3,26,2,1,11,37,1,20,2,25,8,8,0,29,12,0,5,12,0,3,11,3,1,10,3,26,7,2,3,8,8,41,33,16,11,0,0,22,17,1,49,25,4,6,66,0,2,3,0,1,0,1
"946",6,0,11,1,2,0,0,20,1,51,4,0,15,17,0,2,8,18,0,30,2,1,3,34,56,1,4,10,0,1,13,2,18,21,0,15,5,31,21,19,7,45,370,0,1,7,8,1,1,11,0,1,4,37,2,16,2,19,4,3,0,32,48,7,2,16,0,5,15,3,3,5,6,15,3,2,1,0,3,37,31,16,4,0,5,28,14,2,96,30,2,8,49,1,3,8,0,1,1,0
